Actor_Name,Number_of_Movies,Average_Revenue,Star_Power_Score
Jaclyn Jose,2,645894997.1,365758359.39539456
Wataru Takagi,3,552268992.0,365665687.1959703
Álvaro Cervantes,4,505604700.9,365659702.79641795
Craig Ferguson,4,503383375.3,364672446.9741958
Jake Busey,2,641864999.6,364606931.53825176
Nikki Nova,1,918273543.0,364465344.094627
Lexi Marie,1,918273543.0,364465344.094627
Hannah Harper,1,918273543.0,364465344.094627
Thomas Dekker,3,548714368.9333333,364332703.5459702
Daniel Tovar,2,640028249.7,364082145.85253745
Kaitlyn Robrock,4,501651894.15,363902899.79641795
Shin Yeon-woo,10,418961489.38,363875561.0245174
Nancy Cartwright,7,441799019.5142857,363425971.51398015
Mary McDonnell,2,637628975.2,363396638.85253745
Colleen Dewhurst,2,637021712.3,363223135.16682315
Megan Follows,2,637021712.3,363223135.16682315
Kaya Kiyohara,2,636669148.8,363122402.7382517
Larissa Gallagher,1,909434313.0,362992139.094627
Miguel Chillon,1,909309627.4,362971358.1612937
Morgan Blasco,1,909309627.4,362971358.1612937
Alfonso M. Carrasco,1,909309627.4,362971358.1612937
Angelo Infanti,1,909309627.4,362971358.1612937
Robin Sashs,1,909309627.4,362971358.1612937
Leighanne Littrell,1,909309627.4,362971358.1612937
Karin Schubert,1,909309627.4,362971358.1612937
Gustavo Santaolalla,2,636091166.9,362957265.05253744
Gigi Ballista,1,909180760.0,362949880.26129365
Pippo Franco,1,909180760.0,362949880.26129365
Evangeline Lilly,5,472144196.43999994,362923950.37677616
Daisuke Namikawa,4,499410754.05,362906837.5297513
Jocelyn Hudon,3,544894783.0666666,362900358.8459703
Rob Van Dam,1,908280082.0,362799767.26129365
